Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Data_Completed
2788,WarioWare: Twisted!,GBA,2005.0,Puzzle,Unknown,0.16,0.06,0.5,0.02,0.74,True
2840,LEGO Harry Potter: Years 5-7,DS,2011.0,Action,Warner Bros. Interactive Entertainment,0.35,0.3,0.0,0.07,0.72,True
2949,Test Drive Unlimited 2,X360,2011.0,Racing,Atari,0.3,0.32,0.0,0.07,0.69,True
3051,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,2005.0,Action,Disney Interactive Studios,0.48,0.18,0.0,0.01,0.67,True
3143,Test Drive Unlimited 2,PS3,2011.0,Racing,Atari,0.16,0.35,0.01,0.12,0.64,True
3196,Monster Hunter 2,PS2,,Role-Playing,Capcom,0.0,0.0,0.63,0.0,0.63,False
3219,Advance Wars: Days of Ruin,DS,2008.0,Strategy,Nintendo,0.44,0.13,0.0,0.06,0.63,True
3240,Metal Gear Solid 2: Substance,XB,2002.0,Action,Konami Digital Entertainment,0.38,0.22,0.0,0.03,0.62,True
3348,The Golden Compass,Wii,2007.0,Action,Sega,0.26,0.28,0.0,0.07,0.6,True
3423,Madden NFL 06,X360,2005.0,Sports,Electronic Arts,0.54,0.0,0.01,0.03,0.59,True
3470,NASCAR: Dirt to Daytona,PS2,2002.0,Racing,Unknown,0.28,0.22,0.0,0.07,0.58,True
3503,Madden NFL 2002,XB,,Sports,Unknown,0.53,0.02,0.0,0.03,0.58,False
3717,Def Jam: Fight for NY,XB,2004.0,Fighting,Electronic Arts,0.43,0.1,0.0,0.02,0.54,True
3755,NBA Street Vol. 2,GC,2003.0,Sports,Electronic Arts,0.41,0.11,0.0,0.01,0.54,True
3882,Fishing Derby,2600,,Sports,Activision,0.48,0.03,0.0,0.01,0.51,False
3954,Wet,X360,2009.0,Shooter,Bethesda Softworks,0.23,0.21,0.01,0.05,0.5,True
4147,Sonic the Hedgehog,PS3,2007.0,Platform,,0.0,0.48,0.0,0.0,0.48,True
4153,Karate,2600,,Fighting,Ultravision,0.44,0.03,0.0,0.0,0.47,False
4201,Tiger Woods PGA Tour 07,Wii,2006.0,Sports,Electronic Arts,0.43,0.0,0.0,0.04,0.47,True
4234,Circus Atari,2600,2012.0,Action,Atari,0.43,0.03,0.0,0.0,0.46,True
4332,The Chronicles of Riddick: Escape from Butcher Bay,XB,2004.0,Shooter,Vivendi Games,0.32,0.11,0.0,0.02,0.45,True
4380,Maze Craze: A Game of Cops 'n Robbers,2600,,Action,Atari,0.42,0.02,0.0,0.0,0.45,False
4382,Silent Hill: Homecoming,X360,2008.0,Action,Konami Digital Entertainment,0.25,0.16,0.0,0.04,0.45,True
4471,Super Breakout,2600,2008.0,Puzzle,Atari,0.41,0.03,0.0,0.0,0.44,True
4474,Robert Ludlum's The Bourne Conspiracy,X360,2008.0,Action,Vivendi Games,0.26,0.14,0.0,0.04,0.44,True
4538,NHL Slapshot,Wii,2010.0,Sports,Unknown,0.4,0.0,0.0,0.02,0.43,True
4685,TERA,PC,2012.0,Role-Playing,Unknown,0.24,0.12,0.0,0.05,0.41,True
4793,LEGO Harry Potter: Years 5-7,3DS,2011.0,Action,Warner Bros. Interactive Entertainment,0.18,0.19,0.0,0.04,0.4,True
4799,NFL GameDay 2003,PS2,,Sports,Unknown,0.2,0.15,0.0,0.05,0.4,False
4860,Silent Hill: Homecoming,PS3,2008.0,Action,Konami Digital Entertainment,0.18,0.15,0.0,0.06,0.4,True
4867,Harvest Moon: Save the Homeland,PS2,2001.0,Simulation,Unknown,0.19,0.15,0.0,0.05,0.4,True
4936,Robert Ludlum's The Bourne Conspiracy,PS3,2008.0,Action,Vivendi Games,0.18,0.14,0.0,0.06,0.39,True
5063,Hangman,2600,2008.0,Puzzle,Atari,0.35,0.02,0.0,0.0,0.38,True
5080,The Golden Compass,PSP,2007.0,Action,Sega,0.11,0.16,0.0,0.1,0.38,True
5164,NBA Live 2003,XB,,Sports,Electronic Arts,0.31,0.04,0.0,0.01,0.36,False
5173,Bejeweled 3,DS,2010.0,Puzzle,Unknown,0.32,0.02,0.0,0.03,0.36,True
5197,Cubix Robots for Everyone: Clash 'n' Bash,GBA,2002.0,Action,Unknown,0.26,0.1,0.0,0.01,0.36,True
5198,Tropico 4,X360,2011.0,Strategy,Kalypso Media,0.2,0.13,0.0,0.03,0.36,True
5242,Tomb Raider (2013),PC,,Action,Square Enix,0.06,0.25,0.0,0.05,0.36,False
5304,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,,Action,,0.15,0.05,0.14,0.01,0.35,False
5510,Custom Robo,N64,2004.0,Role-Playing,Nintendo,0.0,0.0,0.29,0.04,0.33,True
5620,Final Fantasy XI,PS2,2004.0,Role-Playing,Unknown,0.08,0.06,0.15,0.02,0.32,True
5627,Singularity,X360,2010.0,Shooter,Unknown,0.24,0.05,0.0,0.02,0.32,True
5659,Dragster,2600,,Racing,Activision,0.3,0.02,0.0,0.0,0.32,False
5671,All-Star Baseball 2005,PS2,,Sports,Unknown,0.16,0.12,0.0,0.04,0.32,False
5771,Star Wars Jedi Knight II: Jedi Outcast,XB,2002.0,Shooter,Activision,0.23,0.07,0.0,0.01,0.31,True
5800,Slot Machine,2600,,Action,Atari,0.29,0.02,0.0,0.0,0.31,False
5840,Shrek the Third,DS,2007.0,Action,Activision,0.26,0.02,0.0,0.02,0.3,True
5863,The Dukes of Hazzard II: Daisy Dukes It Out,PS,2000.0,Racing,Unknown,0.17,0.11,0.0,0.02,0.3,True
5872,Disgaea 3: Absence of Detention,PSV,2008.0,Role-Playing,Nippon Ichi Software,0.13,0.06,0.07,0.04,0.3,True
5903,NBA Live 2003,GC,,Sports,Electronic Arts,0.23,0.06,0.0,0.01,0.3,False
5915,Harvest Moon: The Tale of Two Towns,3DS,2011.0,Simulation,Unknown,0.28,0.0,0.0,0.02,0.3,True
6044,Nicktoons: Battle for Volcano Island,GC,2006.0,Action,Unknown,0.22,0.06,0.0,0.01,0.29,True
6127,Haven: Call of the King,PS2,2002.0,Platform,Midway Games,0.14,0.11,0.0,0.04,0.28,True
6155,Unreal Championship 2: The Liandri Conflict,XB,2005.0,Shooter,Midway Games,0.22,0.05,0.0,0.01,0.28,True
6197,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,2005.0,Action,Disney Interactive Studios,0.22,0.06,0.0,0.01,0.28,True
6213,Pac-Man Fever,GC,2002.0,Misc,Unknown,0.21,0.06,0.0,0.01,0.28,True
6274,The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,2005.0,Action,,0.0,0.0,0.27,0.01,0.27,True
6285,Indy 500,2600,1997.0,Racing,Atari,0.26,0.01,0.0,0.0,0.27,True
6316,Gun,X360,2005.0,Shooter,Activision,0.24,0.01,0.0,0.02,0.27,True
6318,Flag Capture,2600,2015.0,Action,Atari,0.25,0.02,0.0,0.0,0.27,True
